Library,month,visits
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-12,4701
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-01,3980
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-02,5980
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-03,6627
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-04,6154
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-05,5606
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-06,5606
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-07,5606
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-08,7042
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-09,7042
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-10,7042
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-11,7510
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-12,7510
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-01,7510
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-02,5568
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-03,5568
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-04,5568
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-05,4988
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-06,4988
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-07,4988
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-08,6756
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-09,6756
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-10,6756
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-11,5425
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-12,3808
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-01,5995
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-02,6852
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-03,6558
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-04,5594
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-05,6032
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-06,5310
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-07,5226
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-08,5785
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-09,5451
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-10,6475
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-11,5387
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-12,3980
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-01,5030
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-02,5119
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-03,5427
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-04,4529
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-05,4960
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-06,4992
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-07,4946
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-08,5204
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-09,4996
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-10,5111
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-11,3969
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-12,2137
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-01,3623
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-02,3597
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-03,4015
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-04,4149
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-05,4011
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-06,3415
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-07,827
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-08,914
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-09,988
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-10,938
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-11,894
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-12,622
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-01,805
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-02,859
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-03,913
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-04,731
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-05,696
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-06,984
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-07,768
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-08,669
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-09,851
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-10,92
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-04,116
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-05,741
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-06,706
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-07,728
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-08,714
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-09,780
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-10,834
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-11,752
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-12,464
